BHCMIS.ID,Year,T6B_L1_CSAA,T6B_L2_CSAA,T6B_L3_CSAA,T6B_L4_CSAA,T6B_L5_CSAA,T6B_L6_CSAA,T6B_L7_CSBA,T6B_L8_CSBA,T6B_L9_CSBA,T6B_L7_CSBB,T6B_L8_CSBB,T6B_L9_CSBB,T6B_L10_CSCA,T6B_L10_CSCB,T6B_L10_CSCC,T6B_L11_CSDA,T6B_L11_CSDB,T6B_L11_CSDC,T6B_L10_N_CC,T6B_L10_D_CC,T6B_L11_N_CC,T6B_L11_D_CC,T6B_L1_CA,T6B_L2_CA,T6B_L3_CA,T6B_L4_CA,T6B_L5_CA,T6B_L6_CA,T6B_L7_CA,T6B_L7_CB,T6B_L8_CA,T6B_L8_CB,T6B_L9_CA,T6B_L9_CB,T6B_L10_CA,T6B_L10_CB,T6B_L10_CC,T6B_L11_CA,T6B_L11_CB,T6B_L11_CC,T6B_L12_CA,T6B_L12_CB,T6B_L12_CC,T6B_L13_CA,T6B_L13_CB,T6B_L13_CC,T6B_L14_CA,T6B_L14_CB,T6B_L14_CC,T6B_L15_CA,T6B_L15_CB,T6B_L15_CC,T6B_L16_CA,T6B_L16_CB,T6B_L16_CC
F2E5176E-C138-4DD8-A828-6A2DC751A538,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.42857142857144,219,957.3142857142857,3046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAD52723-6FA2-4668-AA0E-052AE9A07574,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.42857142857142,246,4317.2,7028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D6D94F4E-9F77-46F4-9F3C-2A5CBCCFDE95,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1524.4285714285713,3557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D2B54CE1-8AEE-4B72-AA69-7C3E7B376123,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,22,24.628571428571426,862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5D7DC745-CA38-4F1A-84E3-F326F89C1223,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255.2571428571428,1997,8145.128571428571,21117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EF9CE7BA-E3B6-49C8-8BEF-DFB8FA804483,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.7857142857143,605,3580.5285714285715,4729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1821E213-01EC-4A82-936A-2EB5F861D413,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.2857142857143,375,3359.2000000000003,9044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85886E5A-2C5F-4DF7-B390-ADD685FE8894,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.628571428571426,94,1016.2285714285714,3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0F8BF907-0AAC-4208-ABE7-7136B3DB1399,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.05714285714285,318,1556.2857142857144,4190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B06B7893-AB20-49FD-A46E-76A2735BFFC7,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.8000000000001,707,15484.585714285715,15709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7A680136-34AC-4F2D-820B-9C5FF178B6E6,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.64285714285714,185,701,2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5A373D74-7802-4EA9-8CEA-E5F16034D0B0,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.24285714285713,253,2419.2,5292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8AF3A514-EA35-4A45-ADB9-9154D5E8160F,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,177,4021,12063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
