BHCMIS.ID,Year,T3B_L1_CA,T3B_L2_CA,T3B_L3_CA,T3B_L4_CA,T3B_L5_CA,T3B_L6_CA,T3B_L7_CA,T3B_L8_CA,T3B_L1ACA,T3B_L1BCA,T3B_L1A_CA,T3B_L1B_CA,T3B_L1C_CA,T3B_L5A_CA,T3B_L5B_CA,T3B_L5C_CA,T3B_L9_CA,T3B_L10_CA,T3B_L11_CA,T3B_L12_CA,T3B_L1_CB,T3B_L1_CD,T3B_L2_CB,T3B_L2_CD,T3B_L2A_CA,T3B_L2A_CB,T3B_L2A_CD,T3B_L2B_CA,T3B_L2B_CB,T3B_L2B_CD,T3B_L3_CB,T3B_L3_CD,T3B_L4_CB,T3B_L4_CD,T3B_L5_CB,T3B_L5_CD,T3B_L6_CB,T3B_L6_CD,T3B_L7_CB,T3B_L7_CD,T3B_L8_CB,T3B_L8_CC,T3B_L8_CD,T3B_L7_CC
1301,2010,18,27,22,55,1121,51,1183,2477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3790,591,609,100,127,0,0,0,27,100,127,495,517,907,962,54269,55390,853,904,693,25731,57908,23855,84240,23855
1302,2010,0,0,0,0,11,0,14,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,100,100,3,3,5504,5515,0,0,23,147,5630,110,5765,110
1303,2010,64,55,18,7,26,8,1435,1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1322,27,91,9,64,23,0,23,32,9,41,10258,10276,52,59,3908,3934,39,47,67,1788,14360,286,16259,286
1304,2010,0,4,12,16,63,0,318,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,54,54,25,29,4,21,25,0,4,4,844,856,74,90,1358,1421,0,0,69,795,2424,408,3245,408
1305,2010,0,0,0,3,24,1,15,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,8,8,0,0,0,0,8,8,57,57,307,310,8133,8157,26,27,56,5252,8592,5181,13816,5181
1306,2010,19,86,110,29,2830,23,10,3107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2486,93,112,84,170,1,4,5,85,80,165,6161,6271,21,50,6447,9277,145,168,43,573,12994,520,16621,520
1307,2010,6,42,522,3,1876,203,11822,14474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12417,1227,1233,99,141,0,4,4,42,95,137,28341,28863,123,126,32402,34278,1223,1426,9778,23217,73193,1617,89284,1617
1308,2010,4,0,4,0,2,335,2,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,48,52,1,1,0,0,0,0,1,1,10204,10208,30,30,1597,1599,117,452,26,38,12023,10,12380,10
1309,2010,0,0,113,0,544,2332,0,2989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1435,246,246,49,49,0,2,2,0,47,47,1148,1261,89,89,10775,11319,1154,3486,0,385,13461,385,16835,385
1310,2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,19174,19174,4,4,1623,1623,0,0,143,143,20944,0,20944,0
1311,2010,0,8,5,3,15,6,6,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,6,14,2,0,2,6,6,12,2925,2930,125,128,1811,1826,50,56,50,56,4968,0,5011,0
1312,2010,0,0,12,0,3,523,1,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,138,138,4,4,0,3,3,0,1,1,9180,9192,45,45,1048,1051,43,566,4,145,10462,140,11141,140
1313,2010,5,7,12,3,5162,0,823,6012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8775,4949,4954,59,66,7,59,66,0,0,0,1666,1678,29,32,6721,11883,0,0,456,1281,13880,2,19894,2
1314,2010,0,0,0,0,6742,0,0,6742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7287,458,458,33,33,0,0,0,0,33,33,672,672,21,21,821,7563,0,0,0,1833,2005,1833,10580,1833
1315,2010,0,6,5,0,11,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,10,16,0,0,0,6,10,16,1531,1536,1,1,1430,1441,0,0,4,398,2980,393,3396,393
1316,2010,0,0,20,33,1282,0,0,1335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1335,146,146,27,27,0,7,7,0,20,20,17976,17996,31,64,18488,19770,0,0,127,142,36795,15,38145,15
1317,2010,1,0,12,0,404,0,74,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627,116,117,2,2,0,0,0,0,2,2,328,340,5,5,1966,2370,0,0,0,1603,2417,1529,4437,1529
1318,2010,0,0,70,0,3391,0,0,3461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1793,321,321,0,0,0,0,0,0,0,0,813,883,9,9,3846,7237,5,5,0,511,4994,511,8966,511
1319,2010,12,0,268,22,13692,0,538,14532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5350,110,122,6,6,0,5,5,0,1,1,2172,2440,24,46,1879,15571,0,0,657,1203,4848,8,19388,8
1320,2010,2,0,16,0,20,0,1738,1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,181,183,0,0,0,0,0,0,0,0,4901,4917,22,22,17004,17024,11,11,99,2254,22218,417,24411,417
1321,2010,0,0,0,0,0,24,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,20,20,12,12,0,0,0,0,12,12,2,2,381,381,232,232,0,24,8,8,655,0,679,0
1322,2010,0,0,0,0,0,1747,0,1747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648,0,0,0,0,0,0,0,0,0,0,10,10,4,4,37,37,0,1747,0,45,51,45,1843,45
1323,2010,0,0,0,0,0,3,62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,5,5,0,0,0,0,0,0,0,0,4730,4730,17,17,5565,5565,35,38,0,806,10352,744,11161,744
1324,2010,1,29,55,6,268,33,2083,2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2342,266,267,313,342,0,6,6,29,307,336,9524,9579,52,58,19995,20263,321,354,785,4103,31256,1235,34966,1235
1325,2010,0,0,82,0,41,0,74,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,1161,1161,0,0,0,0,0,0,0,0,607,689,7,7,9747,9788,0,0,1058,2067,12580,935,13712,935
1326,2010,0,19,1,0,91,2,40,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,23,23,21,40,3,11,14,16,10,26,242,243,11,11,16735,16826,219,221,0,283,17251,243,17647,243
1327,2010,2,22,14,13,1158,32,151,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895,132,134,50,72,3,20,23,19,30,49,1171,1185,135,148,29906,31064,246,278,182,350,31822,17,33231,17
1328,2010,0,0,0,0,0,0,509,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,110,110,14,14,0,0,0,0,14,14,8122,8122,7,7,2938,2938,12,12,193,1323,11396,621,12526,621
1329,2010,9,1,0,0,7406,27,3,7446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4781,689,698,13,14,0,0,0,1,13,14,17,17,5,5,804,8210,35,62,41,48,1604,4,9054,4
1330,2010,0,0,535,0,159,0,0,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,259,259,1,1,0,1,1,0,0,0,147,682,3,3,7347,7506,18,18,0,357,7775,357,8826,357
